artist,author,gernes,heart,name,star,view,words
ĐM sao méo có,銀三〇（ゆだ）,"Adult,School Life,Web Novel,Tragedy,Drama,Romance,Harem,Mature,Seinen,Action,Martial Arts,Horror,Mystery,Psychological,Suspense", 1012 ,Pure Love ✕ Insult Complex,4.8,463615,297528
None,Sugaru Miaki,"Drama,Mystery,Romance,School Life,Slice of Life,Supernatural,Tragedy", 192 ,The Place You Called From,5,21156,69327
Araragi Soushi,Otonashi Satsuki,"Action,Adventure,Drama,Fantasy,Isekai,Otome Game,Romance,Magic,Shoujo", 225 ,I’m Not a Villainess!! Just Because I Can Control Darkness Doesn’t Mean I’m a Bad Person!,4.9,34281,20695
kakao,Amano Seijuu (天乃聖樹),"Comedy,Ecchi,Harem,Romance,School Life", 1949 ,Kawaii Onna no Ko ni Kouryakusareru no wa Suki desu ka?,5,247855,122666
Ichizen,Usber,"Action,Adventure,Comedy,Fantasy,Harem,Romance,Science Fiction,Shounen", 163 ,"Kono Sekai ga Game da to, Ore dake ga Shitte Iru",4.3,14437,13639
Cierra,Maito Ayamine,"Action,Fantasy,Martial Arts,Adventure,Web Novel", 188 ,Shinigami ni Sodaterareta Shoujo wa Shikkoku no Ken wo Mune ni Idaku(WN),4.7,23111,3728
None,Gandara,"Action,Adventure,Comedy,Fantasy,Korean Novel,Psychological,Seinen,Supernatural", 80 ,The Tutorial Is Too Hard,4.5,19284,10864
"G.L., Sun Jae",Kim Jae Han,"Action,Adventure,Fantasy,Korean Novel,Magic,Shounen,Web Novel", 143 ,Dragon Maken War,4.4,23577,26331
None,A Gentleman Does Not Speak Whilst He Reads,"Adventure,Fantasy,Gender Bender,Romance,Supernatural,Harem,Isekai,Super Power,Shoujo ai", 199 ,The Villains Need to Save the World?,4.8,32392,21041
Kannatuki Noboru ( 神奈月昇 ),Kagyu Kumo ( 蝸牛くも ),"Action,Adventure,Fantasy,Horror,Super Power,Suspense", 297 ,Goblin Slayer,4.9,86930,66902
Shirakomiso,Yoru No Usagi,"Action,Adventure,Drama,Fantasy,Psychological,Romance,Seinen,Tragedy", 1480 ,Sairin Yuusha no Fukushuu Hanashi,4.7,265095,166847
PiNe,Sakuya,"Action,Adventure,Fantasy,Harem,Romance,Slice of Life,Web Novel,Super Power,Comedy", 2480 ,Living in this World with Cut & Paste,4.8,1268906,324152
Yuzuki Kei:雪月佳,Kino Yuuki:木野裕喜,"Comedy,Ecchi,Fantasy,Gender Bender,Romance", 167 ,"Because I Reincarnated as a Succubus, I’ll Squeeze Out Milk",4.8,41591,39065
Shiromiso,Michikusa Yamori,"Adventure,Fantasy,Romance,Shoujo", 192 ,Dragon-san wa Tomodachi ga Hoshii,5,28417,12841
None,Hondou Yuuki - 本堂ゆうき,"Action,Adventure,Ecchi,Fantasy,Harem,Isekai,Magic,Romance,Shounen,Web Novel", 61 ,Young God Divine Armaments,5,16166,27268
Akita. Hika,Kaburagi Haruka,"Adventure,Fantasy,Gender Bender,School Life,Shoujo ai,Slice of Life", 184 ,Eiyuu no Musume to Shite Umarekawatta Eiyuu wa Futatabi Eiyuu o Mezasu,4.6,29782,5469
None,Toika,"Action,Adventure,Comedy,Fantasy,Harem,Shounen,Korean Novel", 220 ,I Reincarnated For Nothing,4.4,33792,33151
Mika Pikazo,Nekoko; 猫子,"Adventure,Comedy,Fantasy,Harem,Isekai,Romance,Shounen", 870 ,Saikyou Juzoku Tensei ~Cheat Majutsushi no Slow Life~,4.9,170992,39582
Yasumo,Aiki Abe,"Adventure,Comedy,Drama,Romance", 53 ,Hakuyoku no Polaris,5,7837,530
None,Kamono Udon,"Action,Adventure,Fantasy,Web Novel", 270 ,"Hazure Skill ‘Mapping’ wo Te ni Shita Ore wa, Saikyou Party to Tomo ni Dungeon ni Idomu",4.8,33531,13711
None,로유진,"Action,Adventure,Fantasy,Game,Harem,Magic,Martial Arts,Super Power,Web Novel", 91 ,The second coming of gluttony,4.5,21848,35147
None,Toika,"Action,Adventure,Fantasy,Isekai,Korean Novel,Magic,Military,Science Fiction,Super Power,Web Novel", 46 ,"Stop, friendly fire",4.4,6727,2233
shimano,Ko Hiratori,"Adult,Comedy,Isekai,One shot", 351 ,JK Haru wa Isekai de Shoufu ni Natta,4.5,73654,13420
None,Kataoka Naotaro,"Action,Adventure,Comedy,Fantasy,Harem,Isekai,Slice of Life,Tragedy,Web Novel", 366 ,REINCARNATION INTO THE BARRIER MASTER,4.5,42507,11892
BUNBUN,TAKEDZUKI Jou,"Action,Ecchi,Fantasy,Harem,Martial Arts,Mecha,Romance,Super Power,Supernatural", 277 ,Chronicle Legion – The Road of Conquest,4.5,33956,29566
Koin,Yuumikan,"Action,Adventure,Comedy,Fantasy,Science Fiction,Slice of Life", 561 ,Itai no wa Iya nanode Bougyo-Ryoku ni Kyokufuri Shitai to Omoimasu,4.8,138992,56443
Mid,Tsuda Houkou,"Action,Adventure,Comedy,Drama,Fantasy,Romance,Web Novel", 187 ,Yarukinashi Eiyuutan,4.3,15666,4551
Nagahama Megumi,Takami Ryousen,"Action,Fantasy,Harem,Seinen", 191 ,Almadianos Eiyuuden,4.8,25557,21776
Yano Mitsuki,Ginyoku Nozomi,"Action,Adventure,Comedy,Ecchi,Shounen", 546 ,Behemoth's Pet,4.9,81512,23320
Non,Iruma Hitoma,"Romance,School Life,Shoujo ai,Slice of Life", 146 ,Adachi & Shimamura,5,20168,27650
None,로드워리어 (Road Warrior),"Action,Adventure,Fantasy,Korean Novel,Mature", 108 ,Main Character Hides His Strength,4.7,13136,6900
Won; をん,Yanagimi Touki; 柳実 冬貴,"Action,Adventure,Comedy,Drama,Ecchi,Fantasy,Harem,Magic,Romance,Science Fiction,Super Power,Supernatural", 157 ,EIYU naki SEKAI ni LAST BOSS tachi wo,4.9,16661,5667
Farumaro,Yukidaruma,"Action,Adventure,Comedy,Drama,Fantasy,Harem,Isekai,Psychological,Romance,Slice of Life", 132 ,Hisshou dungeon unei houhou,5,12327,5233
Spoon,Plutus,"Comedy,Fantasy,Korean Novel,Magic,Romance,Shoujo,Slice of Life,Web Novel,Isekai", 113 ,Who Made Me A Princess,4.7,49834,14687
None,D-Dart,"Action,Fantasy,Korean Novel,Supernatural,Web Novel", 77 ,The First Hunter,4.6,15222,11840
None,I Fix Air-Conditioner; 我会修空调,"Action,Adventure,Chinese Novel,Drama,Horror,Mature,Mystery,Psychological,Seinen,Supernatural,Web Novel", 69 ,Ngôi Nhà Ma Ám Của Tôi,4.7,39630,31752
Meruchi Nanase,Ougyo Kawagishi,"Comedy,Ecchi,Harem,Romance,School Life", 44 ,Jinsei,5,8235,2310
加藤いつわ,錬金王(影太郎),"Adult,Adventure,Fantasy,Mature,Seinen,Slice of Life,Web Novel,Ecchi,Romance,Super Power", 2069 ,An A-Ranked Adventurer’s “Slow-living”,4.8,827382,255563
None,Kinoko Nasu,"Action,Adventure,Fantasy,Gender Bender,Mystery,Romance,Slice of Life,Super Power", 123 ,Fate/Prototype Fragments of Sky Silver,4.3,24812,23071
