artist,author,gernes,heart,name,star,view,words
Kaga Chisaku,Nyouro Kesseki,"Comedy,Romance,School Life", 1138 ,"Nhỏ Gyaru lẽ ra tỏ tình với người u ám như tôi chỉ vì trò chơi trừng phạt, nhưng dù có nhìn kiểu gì thì cổ cũng yêu tôi mà!",4.9,36890,17730
Canarinu (キャナリーヌ),Uchikawa Hiroko (内河弘児),"Comedy,Fantasy,Romance,Slice of Life,Web Novel,Isekai,Otome Game,Magic,Adapted to Manga", 1434 ,Akuyaku Reijou no Ani ni Tensei Shimashita,4.9,597446,270196
지나가던 사람,랏슈,"Drama,Fantasy,Korean Novel,Romance,Shoujo,Slice of Life,Web Novel", 241 ,Khi đứa con gái hoang của Bá tước kết hôn,4.8,34562,55300
Ochau (おちゃう),Toudai (灯台),"Adventure,Comedy,Fantasy,Harem,Isekai,Romance,Slice of Life", 518 ,"I Was Caught up in a Hero Summoning, but That World Is at Peace",5,16921,11204
Suya Maromi,Nora Usagi,"Drama,Psychological,Romance,School Life", 889 ,"No One Believed Me. If You Say You Believe Me Now, It’s Too Late",4.9,38971,21328
Omoomomo,Nekokuro,"Comedy,Harem,Romance,School Life,Slice of Life", 848 ,"I, a Lonely Otaku Was Surrounded by Some of the Most Beautiful Girls on Campus and Was Called Riajuu Before I Knew It",4.7,64570,32463
None,Shinsyong,"Action,Adventure,Fantasy,Game,Korean Novel,Shounen,Supernatural,Web Novel", 572 ,Góc nhìn của Độc giả Toàn tri,5,121915,358050
Takeshima Satoshi,Odou Akihiko,"Action,Comedy,Mystery,Romance,Supernatural,Tragedy", 162 ,Tiệm Đồ Cổ Tsukumodo: Ở đây chúng tôi bán những điều bí ẩn,4.9,13066,254340
Macchi | 마끼,이윤아,"Drama,Fantasy,Josei,Korean Novel,Mature,Romance", 51 ,Lời Cầu Hôn Của Bạo Chúa,4.6,10272,43480
Peachberry,Han Mint,"Fantasy,Josei,Mature,Romance,Tragedy,Korean Novel", 129 ,Ác nữ sống hai lần,4.5,37451,97893
None,Satomura Shion,"Drama,Psychological,Romance,School Life,Web Novel,Harem", 745 ,"Thứ duy nhất có thể chạm vào con người đã vụn vỡ này, là bàn tay em",4.8,89276,27184
Fame,Isshiki Ichika,"Action,Adventure,Drama,Fantasy,Harem,Mystery,Psychological,Romance,Seinen,Supernatural,Adapted to Manga,Web Novel,Magic,Super Power", 2691 ,Boushoku no Berserk ~ Ore dake Level to Iu Gainen wo Toppa Suru ~,4.9,464205,228338
Narumi Nanami; Mosukonbu,Amano Seiju,"Comedy,Romance,School Life,Adapted to Manga", 4528 ,Kurasu no daikirai na joshi to kekkon suru koto ni natta.,4.9,648179,185911
Konomi,Kuou Haruki,"Comedy,Game,School Life,Psychological,Romance,Science Fiction", 2278 ,Liar Liar,4.9,585510,458503
