artist,author,gernes,heart,name,star,view,words
マッパニナッタ - Mappa ni Natta,くさもち - Kusamochi,"Action,Adventure,Comedy,Ecchi,Fantasy,Harem,Martial Arts,Romance,Shounen,Web Novel", 660 ,"Power Harassment Seijo no Osananajimi to Zetsuen Shitara, Nanimokamo ga Umaku Iku You ni Natte Saikyou no Bouken-sha ni Natta ~ Tsuideni Yasashikute Kawaii Yome mo Takusan Dekita ~",4.9,32238,15364
Kaga Chisaku,Nyouro Kesseki,"Comedy,Romance,School Life", 1139 ,"Nhỏ Gyaru lẽ ra tỏ tình với người u ám như tôi chỉ vì trò chơi trừng phạt, nhưng dù có nhìn kiểu gì thì cổ cũng yêu tôi mà!",4.9,36953,17730
Canarinu (キャナリーヌ),Uchikawa Hiroko (内河弘児),"Comedy,Fantasy,Romance,Slice of Life,Web Novel,Isekai,Otome Game,Magic,Adapted to Manga", 1434 ,Akuyaku Reijou no Ani ni Tensei Shimashita,4.9,597495,270196
Ochau (おちゃう),Toudai (灯台),"Adventure,Comedy,Fantasy,Harem,Isekai,Romance,Slice of Life", 518 ,"I Was Caught up in a Hero Summoning, but That World Is at Peace",5,16943,11204
Suya Maromi,Nora Usagi,"Drama,Psychological,Romance,School Life", 890 ,"No One Believed Me. If You Say You Believe Me Now, It’s Too Late",4.9,39053,21328
Omoomomo,Nekokuro,"Comedy,Harem,Romance,School Life,Slice of Life", 848 ,"I, a Lonely Otaku Was Surrounded by Some of the Most Beautiful Girls on Campus and Was Called Riajuu Before I Knew It",4.7,64579,32463
Giuniu,Nozomi Kota,"Comedy,Drama,Ecchi,Romance,Seinen,Slice of Life", 660 ,Musume Janakute Mama ga Sukinano!?,4.9,51806,41256
Takeshima Satoshi,Odou Akihiko,"Action,Comedy,Mystery,Romance,Supernatural,Tragedy", 162 ,Tiệm Đồ Cổ Tsukumodo: Ở đây chúng tôi bán những điều bí ẩn,4.9,13069,254340
Peachberry,Han Mint,"Fantasy,Josei,Mature,Romance,Tragedy,Korean Novel", 129 ,Ác nữ sống hai lần,4.5,37455,97893
None,Satomura Shion,"Drama,Psychological,Romance,School Life,Web Novel,Harem", 745 ,"Thứ duy nhất có thể chạm vào con người đã vụn vỡ này, là bàn tay em",4.8,89290,27184
Fame,Isshiki Ichika,"Action,Adventure,Drama,Fantasy,Harem,Mystery,Psychological,Romance,Seinen,Supernatural,Adapted to Manga,Web Novel,Magic,Super Power", 2691 ,Boushoku no Berserk ~ Ore dake Level to Iu Gainen wo Toppa Suru ~,4.9,464230,228338
